SNo,ObservationDate,Province,Country,LastUpdate,Confirmed,Deaths,Recovered
1,2020-01-10,Anhui,Mainland China,1/10/2020 17:00,1,0,0
2,2020-01-11,Beijing,Mainland China,1/11/2020 17:00,14,0,0
3,2020-01-12,Chongqing,Mainland China,1/12/2020 17:00,6,0,0
4,2020-01-13,Fujian,Mainland China,1/13/2020 17:00,1,0,0
5,2020-01-13,Gansu,Mainland China,1/13/2020 17:00,0,0,0
6,2020-01-12,Guangdong,Mainland China,1/12/2020 17:00,26,0,0
7,2020-01-10,Guangxi,Mainland China,1/10/2020 17:00,2,0,0
8,2020-01-15,Guizhou,Mainland China,1/15/2020 17:00,1,0,0
9,2020-01-16,Hainan,Mainland China,1/16/2020 17:00,4,0,0
10,2020-01-16,Hebei,Mainland China,1/16/2020 17:00,1,0,0
11,2020-01-18,Heilongjiang,Mainland China,1/18/2020 17:00,0,0,0
12,2020-01-20,Henan,Mainland China,1/20/2020 17:00,5,0,0
13,2020-01-22,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0
14,2020-01-21,Hubei,Mainland China,1/21/2020 17:00,444,17,28
15,2020-01-22,Hunan,Mainland China,1/22/2020 17:00,4,0,0
16,2020-02-05,Inner Mongolia,Mainland China,2/5/2020 17:00,0,0,0
17,2020-02-05,Jiangsu,Mainland China,2/5/2020 17:00,1,0,0
18,2020-02-05,Jiangxi,Mainland China,2/5/2020 17:00,2,0,0
19,2020-02-05,Jilin,Mainland China,2/5/2020 17:00,0,0,0
20,2020-02-06,Liaoning,Mainland China,2/6/2020 17:00,2,0,0
21,2020-02-05,Macau,Macau,2/6/2020 17:00,1,0,0
22,2020-02-06,Ningxia,Mainland China,2/6/2020 17:00,1,0,0
23,2020-02-08,Qinghai,Mainland China,2/8/2020 17:00,0,0,0
24,2020-02-08,Shaanxi,Mainland China,2/8/2020 17:00,0,0,0
25,2020-02-08,Shandong,Mainland China,2/8/2020 17:00,2,0,0
26,2020-02-12,Shanghai,Mainland China,2/12/2020 17:00,9,0,0
27,2020-02-12,Shanxi,Mainland China,2/12/2020 17:00,1,0,0
28,2020-02-12,Sichuan,Mainland China,2/12/2020 17:00,5,0,0
29,2020-02-18,Taiwan,Taiwan,2/18/2020 17:00,1,0,0
30,2020-02-18,Tianjin,Mainland China,2/18/2020 17:00,4,0,0
31,2020-02-18,Tibet,Mainland China,2/18/2020 17:00,0,0,0
32,2020-02-18,Washington,US,2/18/2020 17:00,1,0,0
33,2020-02-20,Xinjiang,Mainland China,2/20/2020 17:00,0,0,0
34,2020-02-20,Yunnan,Mainland China,2/20/2020 17:00,1,0,0
35,2020-02-22,Zhejiang,Mainland China,2/22/2020 17:00,10,0,0
36,2020-02-22,,Japan,2/22/2020 17:00,2,0,0
37,2020-03-05,,Thailand,3/5/2020 17:00,4,0,2
38,2020-03-05,,South Korea,3/5/2020 17:00,1,0,0
39,2020-03-08,Unknown,China,3/8/2020 17:00,0,0,0
40,2020-03-08,,Kiribati,3/8/2020 17:00,0,0,0
41,2020-03-08,Anhui,Mainland China,3/8/2020 17:00,9,0,0
42,2020-03-08,Beijing,Mainland China,3/8/2020 17:00,22,0,0
43,2020-03-10,Chongqing,Mainland China,3/10/2020 17:00,9,0,0
44,2020-03-10,Fujian,Mainland China,3/10/2020 17:00,5,0,0
45,2020-03-10,Gansu,Mainland China,3/10/2020 17:00,2,0,0
46,2020-03-10,Guangdong,Mainland China,3/10/2020 17:00,32,0,2
47,2020-03-10,Guangxi,Mainland China,3/10/2020 17:00,5,0,0
48,2020-03-12,Guizhou,Mainland China,3/12/2020 17:00,3,0,0
49,2020-03-12,Hainan,Mainland China,3/12/2020 17:00,5,0,0
50,2020-03-12,Hubei,Mainland China,3/12/2020 17:00,444,17,28
51,2020-03-12,Heilongjiang,Mainland China,3/12/2020 17:00,2,0,0
52,2020-03-12,Henan,Mainland China,3/12/2020 17:00,5,0,0
53,2020-03-12,Hong Kong,Hong Kong,3/12/2020 17:00,2,0,0
54,2020-03-18,Hubei,Mainland China,3/18/2020 17:00,444,17,28
55,2020-03-18,Hunan,Mainland China,3/18/2020 17:00,9,0,0
56,2020-03-18,Inner Mongolia,Mainland China,3/18/2020 17:00,0,0,0
57,2020-03-18,Jiangsu,Mainland China,3/18/2020 17:00,5,0,0
58,2020-03-18,Jiangxi,Mainland China,3/18/2020 17:00,7,0,0
59,2020-03-18,Jilin,Mainland China,3/18/2020 17:00,1,0,0
60,2020-03-18,Liaoning,Mainland China,3/18/2020 17:00,3,0,0
61,2020-03-18,Macau,Macau,3/18/2020 17:00,2,0,0
62,2020-04-05,Ningxia,Mainland China,4/5/2020 17:00,1,0,0
63,2020-04-05,Qinghai,Mainland China,4/5/2020 17:00,0,0,0
64,2020-04-05,Shaanxi,Mainland China,4/5/2020 17:00,3,0,0
65,2020-04-05,Shandong,Mainland China,4/5/2020 17:00,6,0,0
66,2020-04-08,Shanghai,Mainland China,4/8/2020 17:00,16,0,0
67,2020-04-08,Shanxi,Mainland China,4/8/2020 17:00,1,0,0
68,2020-04-08,Sichuan,Mainland China,4/8/2020 17:00,8,0,0
69,2020-04-08,Taiwan,Taiwan,4/8/2020 17:00,1,0,0
70,2020-04-08,Tianjin,Mainland China,4/8/2020 17:00,4,0,0
71,2020-04-08,Tibet,Mainland China,4/8/2020 17:00,0,0,0
72,2020-04-08,Washington,US,4/8/2020 17:00,1,0,0
73,2020-04-08,Xinjiang,Mainland China,4/8/2020 17:00,2,0,0
74,2020-04-08,Yunnan,Mainland China,4/8/2020 17:00,2,0,0
75,2020-04-08,Zhejiang,Mainland China,4/8/2020 17:00,27,0,0
76,2020-04-12,,Japan,4/12/2020 17:00,1,0,0
77,2020-04-12,,Thailand,4/12/2020 17:00,4,0,2
78,2020-04-12,,South Korea,4/12/2020 17:00,1,0,0
79,2020-04-12,,Singapore,4/12/2020 17:00,1,0,0
80,2020-04-12,,Philippines,4/12/2020 17:00,0,0,0
81,2020-04-12,,Malaysia,4/12/2020 17:00,0,0,0
82,2020-04-15,,Vietnam,4/15/2020 17:00,2,0,0
83,2020-04-15,,Australia,4/15/2020 17:00,0,0,0
84,2020-04-15,,Mexico,4/15/2020 17:00,0,0,0
85,2020-04-15,,Brazil,4/15/2020 17:00,0,0,0
86,2020-04-15,,Colombia,4/15/2020 17:00,0,0,0
87,2020-04-20,Unknown,China,4/20/2020 17:00,0,0,0
88,2020-04-20,,Kiribati,4/20/2020 17:00,0,0,0
89,2020-04-20,Hubei,Mainland China,4/20/2020 17:00,549,24,31
90,2020-04-20,Guangdong,Mainland China,4/20/2020 17:00,53,0,2
91,2020-04-20,Zhejiang,Mainland China,4/20/2020 17:00,43,0,1
92,2020-04-20,Beijing,Mainland China,4/20/2020 17:00,36,0,1
93,2020-04-20,Chongqing,Mainland China,4/20/2020 17:00,27,0,0
94,2020-04-20,Hunan,Mainland China,4/20/2020 17:00,24,0,0
95,2020-04-20,Guangxi,Mainland China,4/20/2020 17:00,23,0,0
96,2020-04-20,Shanghai,Mainland China,4/20/2020 17:00,20,0,1
97,2020-04-20,Jiangxi,Mainland China,4/20/2020 17:00,18,0,0
98,2020-04-20,Sichuan,Mainland China,4/20/2020 17:00,15,0,0
99,2020-04-22,Shandong,Mainland China,4/22/2020 17:00,15,0,0
100,2020-04-22,Anhui,Mainland China,4/22/2020 17:00,15,0,0
101,2020-04-22,Fujian,Mainland China,4/22/2020 17:00,10,0,0
102,2020-04-22,Henan,Mainland China,4/22/2020 17:00,9,0,0
103,2020-04-22,Jiangsu,Mainland China,4/22/2020 17:00,9,0,0
104,2020-04-22,Hainan,Mainland China,4/22/2020 17:00,8,0,0
105,2020-04-22,Tianjin,Mainland China,4/22/2020 17:00,8,0,0
106,2020-04-22,Yunnan,Mainland China,4/22/2020 17:00,5,0,0
107,2020-04-28,Shaanxi,Mainland China,4/28/2020 17:00,5,0,0
108,2020-04-28,Heilongjiang,Mainland China,4/28/2020 17:00,4,1,0
109,2020-04-28,Liaoning,Mainland China,4/28/2020 17:00,4,0,0
110,2020-04-28,Guizhou,Mainland China,4/28/2020 17:00,3,0,0
111,2020-04-28,Jilin,Mainland China,4/28/2020 17:00,3,0,0
112,2020-05-05,Taiwan,Taiwan,5/5/2020 17:00,3,0,0
113,2020-05-05,Ningxia,Mainland China,5/5/2020 17:00,2,0,0
114,2020-05-05,Hong Kong,Hong Kong,5/5/2020 17:00,2,0,0
115,2020-05-05,Macau,Macau,5/5/2020 17:00,2,0,0
116,2020-05-05,Hebei,Mainland China,5/5/2020 17:00,2,1,0
117,2020-05-05,Gansu,Mainland China,5/5/2020 17:00,2,0,0
118,2020-05-05,Xinjiang,Mainland China,5/5/2020 17:00,2,0,0
119,2020-05-08,Shanxi,Mainland China,5/8/2020 17:00,1,0,0
120,2020-05-08,Inner Mongolia,Mainland China,5/8/2020 17:00,1,0,0
121,2020-05-08,Qinghai,Mainland China,5/8/2020 17:00,0,0,0
122,2020-05-08,Washington,US,5/8/2020 17:00,1,0,0
123,2020-05-08,Chicago,US,5/8/2020 17:00,1,0,0
124,2020-05-08,,Japan,5/8/2020 17:00,2,0,0
125,2020-05-10,,Thailand,5/10/2020 17:00,5,0,3
126,2020-05-10,,South Korea,5/10/2020 17:00,2,0,0
127,2020-05-10,,Singapore,5/10/2020 17:00,3,0,0
128,2020-05-10,,Vietnam,5/10/2020 17:00,2,0,0
129,2020-05-10,,France,5/10/2020 17:00,2,0,0
130,2020-05-10,Unknown,China,5/10/2020 17:00,0,0,0
131,2020-05-12,,Kiribati,5/12/2020 17:00,0,0,0
132,2020-05-12,Hubei,Mainland China,5/12/2020 17:00,761,40,32
133,2020-05-12,Guangdong,Mainland China,5/12/2020 17:00,78,0,2
134,2020-05-12,Zhejiang,Mainland China,5/12/2020 17:00,62,0,1
135,2020-05-12,Chongqing,Mainland China,5/12/2020 17:00,57,0,0
136,2020-05-12,Hunan,Mainland China,5/12/2020 17:00,43,0,0
137,2020-05-12,Beijing,Mainland China,5/12/2020 17:00,41,0,2
138,2020-05-18,Anhui,Mainland China,5/18/2020 17:00,39,0,0
139,2020-05-18,Shanghai,Mainland China,5/18/2020 17:00,33,0,1
140,2020-05-18,Henan,Mainland China,5/18/2020 17:00,32,0,0
141,2020-05-18,Sichuan,Mainland China,5/18/2020 17:00,28,0,0
142,2020-05-18,Shandong,Mainland China,5/18/2020 17:00,27,0,0
143,2020-05-18,Guangxi,Mainland China,5/18/2020 17:00,23,0,0
144,2020-05-18,Hainan,Mainland China,5/18/2020 17:00,19,0,0
145,2020-05-18,Jiangxi,Mainland China,5/18/2020 17:00,18,0,0
146,2020-05-18,Fujian,Mainland China,5/18/2020 17:00,18,0,0
147,2020-05-18,Jiangsu,Mainland China,5/18/2020 17:00,18,0,1
148,2020-05-22,Liaoning,Mainland China,5/22/2020 17:00,17,0,0
149,2020-05-22,Shaanxi,Mainland China,5/22/2020 17:00,15,0,0
150,2020-05-22,Yunnan,Mainland China,5/22/2020 17:00,11,0,0
151,2020-05-22,Tianjin,Mainland China,5/22/2020 17:00,10,0,0
152,2020-05-22,Heilongjiang,Mainland China,5/22/2020 17:00,9,1,0
153,2020-05-22,Hebei,Mainland China,5/22/2020 17:00,8,1,0
154,2020-05-22,Inner Mongolia,Mainland China,5/22/2020 17:00,7,0,0
155,2020-05-22,Shanxi,Mainland China,5/22/2020 17:00,6,0,0
156,2020-05-22,Hong Kong,Hong Kong,5/22/2020 17:00,5,0,0
157,2020-05-22,Guizhou,Mainland China,5/22/2020 17:00,4,0,0
158,2020-05-22,Jilin,Mainland China,5/22/2020 17:00,4,0,0
159,2020-05-22,Gansu,Mainland China,5/22/2020 17:00,4,0,0
160,2020-05-22,Ningxia,Mainland China,5/22/2020 17:00,3,0,0
161,2020-05-22,Taiwan,Taiwan,5/22/2020 17:00,3,0,0
162,2020-05-28,Xinjiang,Mainland China,5/28/2020 17:00,3,0,0
163,2020-05-28,Macau,Macau,5/28/2020 17:00,2,0,0
164,2020-05-28,Qinghai,Mainland China,5/28/2020 17:00,1,0,0
165,2020-05-28,Washington,US,5/28/2020 17:00,1,0,0
166,2020-05-28,Illinois,US,5/28/2020 17:00,1,0,0
167,2020-05-28,,Japan,5/28/2020 17:00,2,0,0
168,2020-05-28,,Thailand,5/28/2020 17:00,6,0,3
169,2020-05-28,,South Korea,5/28/2020 17:00,2,0,0
170,2020-05-28,,Singapore,5/28/2020 17:00,3,0,0
171,2020-05-28,,Vietnam,5/28/2020 17:00,2,0,0
172,2020-05-28,,France,5/28/2020 17:00,3,0,0
173,2020-06-05,,Australia,6/5/2020 17:00,4,0,0
174,2020-06-05,,Nepal,6/5/2020 17:00,1,0,0
175,2020-06-05,,Malaysia,6/5/2020 17:00,3,0,0
176,2020-06-05,Unknown,China,6/5/2020 17:00,0,0,0
177,2020-06-05,,Kiribati,6/5/2020 17:00,0,0,0
178,2020-06-05,Hubei,Mainland China,6/5/2020 17:00,1058,52,42
179,2020-06-05,Guangdong,Mainland China,6/5/2020 17:00,111,0,2
180,2020-06-05,Zhejiang,Mainland China,6/5/2020 17:00,104,0,1
181,2020-06-05,Henan,Mainland China,6/5/2020 17:00,83,1,0
182,2020-06-08,Chongqing,Mainland China,6/8/2020 17:00,75,0,0
183,2020-06-08,Hunan,Mainland China,6/8/2020 17:00,69,0,0
184,2020-06-08,Beijing,Mainland China,6/8/2020 17:00,68,0,2
185,2020-06-08,Anhui,Mainland China,6/8/2020 17:00,60,0,0
186,2020-06-08,Shandong,Mainland China,6/8/2020 17:00,46,0,0
187,2020-06-08,Sichuan,Mainland China,6/8/2020 17:00,44,0,0
188,2020-06-08,Shanghai,Mainland China,6/8/2020 17:00,40,1,1
189,2020-06-08,Guangxi,Mainland China,6/8/2020 17:00,36,0,0
190,2020-06-08,Jiangxi,Mainland China,6/8/2020 17:00,36,0,0
191,2020-06-08,Fujian,Mainland China,6/8/2020 17:00,35,0,0
192,2020-06-08,Jiangsu,Mainland China,6/8/2020 17:00,33,0,1
193,2020-06-08,Hainan,Mainland China,6/8/2020 17:00,22,0,0
194,2020-06-08,Shaanxi,Mainland China,6/8/2020 17:00,22,0,0
195,2020-06-08,Liaoning,Mainland China,6/8/2020 17:00,21,0,0
196,2020-06-08,Yunnan,Mainland China,6/8/2020 17:00,16,0,0
197,2020-06-08,Heilongjiang,Mainland China,6/8/2020 17:00,15,1,0
198,2020-06-08,Tianjin,Mainland China,6/8/2020 17:00,14,0,0
199,2020-06-08,Hebei,Mainland China,6/8/2020 17:00,13,1,0
200,2020-06-08,Shanxi,Mainland China,6/8/2020 17:00,9,0,0
201,2020-06-08,Hong Kong,Hong Kong,6/8/2020 17:00,8,0,0
202,2020-06-08,Inner Mongolia,Mainland China,6/8/2020 17:00,7,0,0
203,2020-06-08,Gansu,Mainland China,6/8/2020 17:00,7,0,0
204,2020-06-10,Guizhou,Mainland China,6/10/2020 17:00,5,0,0
205,2020-06-10,Macau,Macau,1/26/2020 16:00,5,0,0
206,2020-06-10,Ningxia,Mainland China,1/26/2020 16:00,4,0,0
207,2020-06-10,Jilin,Mainland China,1/26/2020 16:00,4,0,0
208,2020-06-10,Taiwan,Taiwan,1/26/2020 16:00,4,0,0
209,2020-06-10,Xinjiang,Mainland China,1/26/2020 16:00,4,0,0
210,2020-06-10,Qinghai,Mainland China,1/26/2020 16:00,1,0,0
211,2020-06-10,Washington,US,1/26/2020 16:00,1,0,0
212,2020-06-10,Illinois,US,1/26/2020 16:00,1,0,0
213,2020-06-10,California,US,1/26/2020 16:00,2,0,0
214,2020-06-10,Arizona,US,1/26/2020 16:00,1,0,0
215,2020-07-03,,Japan,7/3/2020 16:00,4,0,1
216,2020-07-03,,Thailand,7/3/2020 16:00,8,0,6
217,2020-07-03,,South Korea,7/3/2020 16:00,3,0,0
218,2020-07-03,,Singapore,7/3/2020 16:00,4,0,0
219,2020-07-03,,Vietnam,7/3/2020 16:00,2,0,0
220,2020-07-05,,France,7/5/2020 16:00,3,0,0
221,2020-07-05,,Australia,7/5/2020 16:00,4,0,0
222,2020-07-05,,Nepal,7/5/2020 16:00,1,0,0
223,2020-07-05,,Malaysia,7/5/2020 16:00,4,0,0
224,2020-07-05,Ontario,Canada,7/5/2020 16:00,1,0,0
225,2020-07-05,Unknown,China,7/5/2020 16:00,0,0,0
226,2020-07-05,,Kiribati,7/5/2020 16:00,0,0,0
227,2020-07-08,Hubei,Mainland China,7/8/2020 16:00,1423,76,45
228,2020-07-08,Guangdong,Mainland China,7/8/2020 16:00,151,0,4
229,2020-07-08,Zhejiang,Mainland China,7/8/2020 16:00,128,0,1
230,2020-07-08,Henan,Mainland China,7/8/2020 16:00,128,1,0
231,2020-07-08,Chongqing,Mainland China,7/8/2020 16:00,110,0,0
232,2020-07-08,Hunan,Mainland China,7/8/2020 16:00,100,0,0
233,2020-07-08,Beijing,Mainland China,7/8/2020 16:00,80,1,2
234,2020-07-10,Shandong,Mainland China,7/10/2020 16:00,75,0,0
235,2020-07-11,Jiangxi,Mainland China,7/10/2020 16:00,72,0,2
236,2020-07-15,Anhui,Mainland China,7/15/2020 16:00,70,0,0
237,2020-07-15,Sichuan,Mainland China,7/15/2020 16:00,69,0,0
238,2020-07-15,Fujian,Mainland China,7/15/2020 16:00,59,0,0
239,2020-07-15,Shanghai,Mainland China,7/15/2020 16:00,53,1,3
240,2020-07-15,Jiangsu,Mainland China,7/15/2020 16:00,47,0,1
241,2020-07-15,Guangxi,Mainland China,7/15/2020 16:00,46,0,0
242,2020-07-15,Shaanxi,Mainland China,7/15/2020 16:00,35,0,0
243,2020-07-15,Hainan,Mainland China,7/15/2020 16:00,33,1,0
244,2020-07-20,Liaoning,Mainland China,7/20/2020 16:00,27,0,0
245,2020-07-20,Yunnan,Mainland China,7/20/2020 16:00,26,0,0
246,2020-07-20,Tianjin,Mainland China,7/20/2020 16:00,23,0,0
247,2019-01-03,Heilongjiang,Mainland China,1/3/2019 16:00,21,1,0
248,2019-01-04,Hebei,Mainland China,1/4/2019 16:00,18,1,0
249,2019-01-05,Gansu,Mainland China,1/5/2019 16:00,14,0,0
250,2019-01-06,Shanxi,Mainland China,1/6/2019 16:00,13,0,0
251,2019-01-07,Inner Mongolia,Mainland China,1/7/2019 16:00,11,0,0
252,2019-01-08,Hong Kong,Hong Kong,1/8/2019 16:00,8,0,0
253,2019-01-09,Guizhou,Mainland China,1/9/2019 16:00,7,0,0
